기준_년분기_코드,상권_코드,상권_코드_명,자치구,상권유형,서비스_업종_코드,서비스_업종_코드_명,전체_점포_수,p_순감소,예측_개업건수,예측_폐업건수,예측_개업률,예측_폐업률
20261,3110142,화양사거리,광진구,골목상권,CS100008,분식전문점,7,0.23814719390248673,0.3166832298004115,0.32909003912371726,4.524046140005879,4.701286273195961
20261,3110142,화양사거리,광진구,골목상권,CS100009,호프-간이주점,12,0.30069745344132215,0.36913871898848893,0.4609211680412339,3.076155991570741,3.841009733676949
20261,3110142,화양사거리,광진구,골목상권,CS100010,커피-음료,24,0.44912658591956284,1.1090679590788184,1.169286996833575,4.6211164961617435,4.872029153473229
20261,3110144,어린이대공원역 4번,광진구,골목상권,CS100001,한식음식점,6,0.12051000239826347,0.260095405476087,0.24058735149737584,4.33492342460145,4.0097891916229305
20261,3110144,어린이대공원역 4번,광진구,골목상권,CS100008,분식전문점,5,0.1727506960244152,0.16790796489789045,0.26111987518621044,3.358159297957809,5.222397503724209
20261,3110144,어린이대공원역 4번,광진구,골목상권,CS100010,커피-음료,6,0.1579946185756227,0.2394342931752822,0.3054353412624743,3.99057155292137,5.090589021041239
20261,3110146,신자초등학교,광진구,골목상권,CS100001,한식음식점,18,0.289739998391176,0.7250555222149858,0.748019362757563,4.028086234527699,4.155663126430905
20261,3110146,신자초등학교,광진구,골목상권,CS100010,커피-음료,15,0.36650090759930565,0.6107398176431235,0.7906833192926239,4.07159878428749,5.2712221286174925
20261,3110147,능동우편취급국,광진구,골목상권,CS100001,한식음식점,28,0.29112859031956206,1.177496920879015,1.1659667259819992,4.205346145996482,4.164166878507141
20261,3110147,능동우편취급국,광진구,골목상권,CS100006,패스트푸드점,6,0.19483622814912419,0.21204169092931388,0.35297929402271083,3.5340281821552315,5.882988233711847
20261,3110147,능동우편취급국,광진구,골목상권,CS100009,호프-간이주점,9,0.2358285049419084,0.27572880331056693,0.3714131789655956,3.06365337011741,4.1268130996177295
20261,3110147,능동우편취급국,광진구,골목상권,CS100010,커피-음료,11,0.2649069994878523,0.5018044923750664,0.5530431330874729,4.561859021591513,5.0276648462497535
20261,3110148,어린이대공원역 3번,광진구,골목상권,CS100001,한식음식점,28,0.2964347032343071,1.2313248750381893,1.1685909276287785,4.397588839422105,4.173539027245638
20261,3110148,어린이대공원역 3번,광진구,골목상권,CS100008,분식전문점,5,0.1739890803181667,0.21293033804332367,0.2484693183496017,4.258606760866473,4.969386366992034
20261,3110148,어린이대공원역 3번,광진구,골목상권,CS100010,커피-음료,11,0.251223665166772,0.52313081679517,0.554039915386068,4.75573469813791,5.036726503509709
